㮍|B75 S13||||a memorandum tablet, slip of paper, fancy note-paper, a note, a document, comments
㮤|B75 S14||||pine, fir, loose, lax, slack
㮶|B75 S14 Yshi4 shuo4||||a tree, a fence, a palisade, a railing
㯃|B75 S15||||the varnish tree, paint, lacquer, varinish, to paint or varinish, black, sticky
㯍|B75 S15 Yjiang3||||an oar
㯰|B75 S17 Yzhe2 zhi2||||to plant, to set up, to erect, plants
㰏|B75 S20||||a bamboo pole, a pole for punting a boat
㰦|B76 S9 Yqu4||||to breath with mouth open
㳃|B85 S8 Ycui4||||to temper iron or steel for making swords_ etc. (also used figuratively), to dip into water, to soak, to dye
㳒|B85 S9 Ybian4 fa3||||statutes, laws, regulations, a rule, legal standard, plan or methods_ etc.
㴑|B85 S13 Ysu4||||to trace up to a source, to go against the stream, water
㴞|B85 S13||||fluent, to fill, to prevail
㵤|B85 S17 Ydian4 sha4 xia2||||to overflow, to spread
㶚|B85 S23 Yba4|ハ バ|||name of a river in Shanxi
㷀|B86 S11 Yqiong2||||solitary, alone, single, brotherless, friendless, helpless, dice, a kind of gambling game played in ancient times
㷔|B86 S13 Yyan4||||flame, blaze, glowing, brilliant
㸅|B86 S18 Yjie2||||ashes, candle end
㸿|B93 S11 Ydu2||||a calf
㹠|B94 S9 Ytun2||||a small pig, a sucking pig, to shuffle along without lifting the feet
㹦|B94 S10||||dog with a short tail, the sable, the marten, mink
㹨|B94 S10 Yyou4||||a kind of animal (looks like weasel), an ape with black color and long tail
㺃|B94 S14 Ygou3||||a dog, canine
㺔|B94 S17 Yhai4 wei4||||a kind of beast, a legendary monster
㽲|B104 S7 Yjiao3||||griping colic, illness, disease
㽵|B104 S8||||solemn, large farmhouse
㽷|B104 S9 Yshui4||||dropsy, hydrophillic swelling
㾮|B104 S14 Yhuang2||||jaundice
㿉|B104 S17 Ytui2||||disease of the private part of the human body
㿗|B104 S21 Ytui2||||disease of the private part of the human body
䀹|B109 S12 Yjia2 she4||||to wink eyelashes, having one eye smller than the other, joke, witticism, pleasantry, jest, fun
䁘|B109 S15 Yyao3||||to look at, to see, pretty eyes, farsightedness (as a physical defect), hypermetropia, to look from a distance
䂓|B111 S12||||regulations, laws, rules, customs or usages, a pair of compasses
䄅|B113 S11 Yjuan4||||to worship, to honor by a rite or service, to offer sacrifices
䅏|B115 S12 Yhui4 wei4||||rice boiled to gruel, congee, porridge
䅣|B115 S14 Yhuang2||||a variety of panicled millet, a small coarse grain resembling sorghum
䆴|B116 S16||||(abbreviated form)
䆿|B116 S19 Yyi4||||to talk in sleep, somniloquy
䇦|B118 S11 Yyang3||||a kind of bamboo, colorless bamboo, bamboo shoot
䇮|B118 S12 Yren4||||a bamboo mat used in ancient times, a sleeping mat
䇳|B118 S12||||a memoradum tablet, slip of paper, fancy notepaper, a note, a document
䈇|B118 S14 Yzhao4||||a cover, a shade, a basket used to catch fish
䈎|B118 S15 Yye4||||a leaf, the page of a book, a leaf of a door, a lobe of the lungs or liver
䉤|B118 S19 Ysou3||||a bamboo ware for washing rice, a measuring unit used in ancient times, equal to 16 Chinese peck
䋖|B120 S12 Yyu4||||long, a gown, a long dress
䋝|B120 S12||||a throat-band, chin strap for holding the hat, tassel, a fringe
䌂|B120 S15 You4||||in ancient times_ article for preparing the body for the coffin (something slipped on the hand of the dead)
䌫|B120 S22 N3629 Ylan3||||a hawser, a cable, a rope
䍃|B121 S10 Yyao2 you2||||a vase, a pitcher, earthenware
䏮|B130 S13 N3756 Yxi2 xie2||||the sides of the trunk from armpits to ribs, the flank
䏰|B130 S14 Yren3||||a kind of insects, earthworm, durable, strong and soft, pliable yet tough
䐈|B130 S15 Yzhi2||||a piece of one foot two inches dried seasoned meat, to paste up, to attach to, to stick up, to glue, rotten fat, grease_ lard_ etc., bowels
䐗|B130 S16 Ydu3||||a pig, the belly, the abdomen
䐜|B130 S17||||a swelled belly, drop-sical, to swell, inflated
䐢|B130 S17 Yzhu4||||to wrinkle, to contract, beautiful, elegant, dried and seasoned meat, excellent food, delicacies
䑓|B133 S13 Ytai2 tai3||||a lookout, a tower, a terrace, a platform, a stage
䑛|B135 S11 Ychi3 shi4 yi4||||to lick
䑶|B137 S14 Ycan2 qian4||||sprightly boat, light boat
䑺|B137 S15||||a sail (of a boat)
䒑|B140 S6 Ycao3||||grass, straw, herbs, weeds
䒳|B140 S12 Yduo3||||a flower, a cluster of flowers, a bud, lobe of the ear
䔈|B140 S16 Ygan3 gong4 nou3||||lush growth of grass, trees and fruits
䔥|B140 S17||||common variety of artemisia
䕃|B140 S18 Yyin4||||the shade of a tree, to cover up, to cover or screen
䖝|B142 S7 Ychong2||||insects, worms
䖸|B142 S13 Ye2||||moth
䗥|B142 S17||||the solitary wasp, lice on cattle, a kind of gad-fly
䗪|B142 S17 Yzhe4||||a kind of worm, can be used in Chinese medicine
䘏|B143 S9 Yxu4||||sympathy, pity
䙁|B145 S14 Ycan2||||children's garments, a mat for wrapping garments
䙥|B145 S19 Yling2||||shiny dresses
䚡|B148 S16||||bones in a horn of cattle and goat
䚯|B149 S9 Ytao3 zhen4||||to quell (uprising_ rebellion_ etc.) to punish (another nation_ etc.) by force of arms, sound, voice, tone
䜌|B149 S19 Yluan2||||chaos, distraction, confusion, confused, continuous, uninterruptedto tie together, to manage
䝤|B153 S19 Ylao3||||a primitive tribe in southwest China, nocturnal hunting
䟽|B157 S14||||scattered or dispersed
䡎|B159 S11 Ylu2||||a windlass, a pulley, a capstan
䢵|B163 S11 Yyun2||||name of an old country in today's Hubei province, name of a place in today's Jiangsu province
䦰|B169 S19||||lots, to draw lots
䧧|B170 S21 Yyi3||||high mountains, steep, lofty
䧺|B172 S13 Yxiong2||||the male of birds
䨄|B172 S19 Yyan4||||quail
䨩|B173 S18 Yling2||||the spirit, the soul, divine, super-natural
䪼|B181 S14||||the cheek-bone, the malar bone, the malar
䬻|B184 S15 Yjian4 kan3||||to entertain a departing friend, a parting present of food or money
䯂|B187 S34 Yji2||||numerous, very many, large group of horses traveling in a line
䯊|B188 S15 Yqia4||||the pelvis, bone stuck in the throat, the kneecap, patella, the five lowest pieces of bone of the spinal column
䯒|B188 S16 Yheng2||||the upper part of the shinbone, or tibia
䯨|B189 S13 Yfen2 he4||||to rap, to tap, to beat, big, great, large, tall, high
䰗|B191 S20||||a lot, a ticket, to draw lots
䰠|B194 S16 Yshen2||||god, spirit, immortal, mountain deity
䳄|B196 S16 Yci2||||a kind of water bird, with black color, female, woman-like
䳑|B196 S17 Yyou3 yu4||||a pheasant-like bird
䴇|B196 S24 Yling2||||a second name for crane, a small swan, a second name for wagtail
䵷|B205 S19||||frog, to make the noise of vomitting
一|B1 G1 S1 F2 N1 V1 H3341 DK2105 L1 IN2 E1 P4-1-4 I0a1.1 Yyi1|イチ イツ ひと- ひと.つ|かず い いっ いる かつ かづ てん はじめ ひ ひとつ まこと||one, one radical (no.1)
丁|B1 G3 S2 F1312 N2 V2 H3348 DK2106 L91 IN184 E346 P4-2-1 I0a2.4 Yding1 Yzheng1|チョウ テイ チン トウ チ ひのと|||street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign
丂|B1 S2 P4-2-1 Ykao3|コウ さまた.げられる|||obstruction of breath (qi) as it seeks release, variant of other characters
七|B1 G1 S2 F115 N261 V3 H3362 DK2109 L7 IN9 E30 P4-2-2 I0a2.13 Yqi1|シチ なな なな.つ なの|し しっ な ひち||seven
丄|B1 S2 P4-2-2 Yshang4 Yshang3|ジョウ ショウ うえ うわ- かみ あ.げる あ.がる あ.がり のぼ.る のぼ.せる のぼ.す よ.す|||above
丅|B1 S2 P4-2-1 Yxia4|カ ゲ した しも もと さ.げる さ.がる くだ.る くだ.す くだ.さる お.ろす お.りる|||under, underneath, below, down, inferior, bring down
万|B1 G2 S3 F375 N7 V7 H2936 DK1865 L64 IN16 E392 P3-2-1 I0a3.8 Ywan4 Ymo4|マン バン よろず|かず ま ゆる||ten thousand
丈|B1 G8 S3 F1375 N151 V5 H3419 DK2136 L691 IN1325 E1415 P4-3-4 I0a3.26 Yzhang4|ジョウ たけ だけ|とも ますら||length, 10feet, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely
三|B1 G1 S3 F14 N8 V8 H1924 DK1225 L3 IN4 E23 P2-1-2 I0a3.1 Ysan1|サン ゾウ み み.つ みっ.つ|か さ さい さえ さぶ ざ ざえ ざぶ そう ぞ ただ みつ みん も や||three
上|B1 G1 S3 F35 N798 V10 H3404 DK2128 L49 IN32 E37 P4-3-2 I2m1.1 Yshang4 Yshang3|ジョウ ショウ シャン うえ -うえ うわ- かみ あ.げる -あ.げる あ.がる -あ.がる あ.がり -あ.がり のぼ.る のぼ.り のぼ.せる のぼ.す よ.す|あおい あげ い か かき かず かん こう のぼり ほつ||above, up
下|B1 G1 S3 F97 N9 V9 H3378 DK2115 L50 IN31 E7 P4-3-1 I2m1.2 Yxia4|カ ゲ した しも もと さ.げる さ.がる くだ.る くだ.り くだ.す -くだ.す くだ.さる お.ろす お.りる|さか しと||below, down, descend, give, low, inferior
丌|B1 S3 P4-3-1 Yji1|キ ゴ そ.れ そ.の だい|||table
不|B1 G4 S4 F101 N17 V13 H3434 DK2141 L1217 IN94 E572 P4-4-1 I0a4.2 Ybu4 Ybu2|フ ブ|||negative, non-, bad, ugly, clumsy
与|B1 G8 S3 F308 N6 V6 H3421 DK2138 L1246 IN539 E1873 P4-3-4 I0a3.23 Yyu3 Yyu4|ヨ あた.える あずか.る くみ.する ともに|とも ゆ||bestow, participate in, give, award, impart, provide, cause, gift, godsend
丏|B1 S4 Yju1 mian3|ベン メン みえぬ|||parapet, invisible
丐|B1 S4 N11 V11 P4-4-1 I2m2.3 Ygai4|カイ こ.う|||beggar, beg, give
丑|B1 G9 S4 F2305 N13 V12 H3433 DK2140 L2040 IN2001 P4-4-1 I0a4.39 Ychou3|チュウ うし|ひろ||sign of the ox or cow, 1-3AM, second sign of Chinese zodiac
丒|B1 S4 P2-3-1 Ychou3|チュウ うし|||the period from 1 to 3 am, 2nd character of the "branches"
且|B1 G8 S5 N23 V17 H3485 DK2173 L2034 IN1926 E1091 P4-5-1 I0a5.15 Yqie3 Yju1|ショ ソ ショウ か.つ|あき かつ||moreover, also, furthermore
丕|B1 S5 V18 P2-4-1 I0a5.2 Ypi1|ヒ おお.きい|||large, great, grand, glorious, distinguished
世|B1 G3 S5 F135 N95 V20 H3496 DK2178 L28 IN252 E327 P4-5-2 I0a5.37 Yshi4|セイ セ ソウ よ さんじゅう|とし ゆ ゆき||generation, world, society, public
丗|B1 S5 N83 V15 H3500 P4-5-2 Yshi4|セイ セ ソウ よ さんじゅう|||thirty
丘|B1 G8 S5 F1405 N174 V19 H3495 DK2177 L1329 IN1357 E1149 P4-5-2 I0a5.12 Yqiu1|キュウ おか|たかし||hill, knoll
丙|B1 G8 S5 N22 V16 H3479 DK2168 L1020 IN984 E1773 P4-5-1 I0a5.21 Ybing3|ヘイ ひのえ|||third class, 3rd, 3rd calendar sign
丞|B1 G9 S6 N21 V22 H2541 DK1612 L2919 IN2002 P2-5-1 I2c4.3 Ycheng2|ジョウ ショウ すく.う たす.ける|すけ||help
丟|B1 S6 P4-6-1 Ydiu1|チュウ チュ さる なげう.つ|||discard, reject, lose
両|B1 G3 S6 F247 N34 V23 H3518 DK2191 L1168 IN200 E411 P4-6-1 I0a6.11 Yliang3|リョウ てる ふたつ|もろ||both, old Japanese coin, counter for carriages (e.g., in a train), two
丣|B1 S7 P4-7-1 Yyou3|ユウ とり|||the tenth of the twelve Terrestrial Branches (ancient form)
两|B1 S7 P4-7-1 Yliang3|リョウ て.る ふたつ|||two, both, pair, couple, ounce
並|B1 G6 S8 F599 N589 V24 H2246 DK1436 L1785 IN1165 E1775 P2-3-5 I2o6.1 Ybing4|ヘイ ホウ な.み なら.べる なら.ぶ なら.びに|なび||row, and, besides, as well as, line up, rank with, rival, equal
丨|B2 S1 H3343 P4-1-3 Yshu4|コン シ ジョ ニョ すす.む しりぞ.く||ぼう|number one, line, rod radical (no. 2)
丩|B2 S2 Yjiu1|キュウ まつわる|||to join or connect the vine
个|B2 S3 N340 V25 H1959 P2-2-1 Yge4|カ コ|||counter for articles, individual
丫|B2 S3 V26 P4-3-4 Yya1|ア ヤ ふたまた あげまき|||bifurcation, fork
丬|B90 S4 Yqiang2||||half of tree trunk, rad. no. 90
中|B2 G1 S4 F11 N81 V28 H3451 DK2150 L39 IN28 E55 P4-4-3 I0a4.40 Yzhong1 Yzhong4|チュウ なか うち あた.る|あたる かなえ||in, inside, middle, mean, center
丮|B2 S4 P3-1-3 Yji3|ケキ キャク も.つ と.る|||catch
丯|B2 S4 P4-4-3 Yjie4|カイ さんらん.する|||dense
丰|B2 S4 N77 V27 P4-4-3 Yfeng1|ホウ フ フウ みめよ.い しげ.る|||abundant, lush, bountiful, plenty, fat face, luxurious growth of grass
丱|B2 S5 V29 P1-2-3 I0a5.4 Yguan4|カン ケン|||saguaro-like kanji, horn-shaped locks of hair, young, tender
串|B2 G9 S7 F2139 N104 V30 L603 P4-7-3 I0a7.13 Ychuan4|カン ケン セン くし つらぬ.く|||shish kebab, spit, skewer
丵|B2 S10 P4-10-4 Yzhuo1|サク くさのむらがり|||thick (grass)
丶|B3 S1 V32 H3344 P4-1-4 I0a1.3 Yzhu3|チュ||てん|dot, tick or dot radical (no. 3)
丸|B3 G2 S3 F542 N155 V34 H3417 DK2134 L44 IN644 E830 P4-3-4 I0a3.28 Ywan2|ガン まる まる.める まる.い|ま わ わに||round, full, month, perfection, -ship, pills, make round, roll up, curl up, seduce, explain away
丹|B3 G8 S4 F1402 N163 V36 H3441 DK2147 L2038 IN1093 E1563 P4-4-1 I0a4.34 Ydan1|タン に|た たみ まこと||rust-colored, red, red lead, pills
主|B3 G3 S5 F95 N285 V38 H1938 DK1231 L266 IN155 E299 P2-1-4 I4f1.1 Yzhu3|シュ ス シュウ ぬし おも あるじ|かず ず もん||lord, chief, master, main thing, principal
丼|B3 S5 F2088 N171 V37 L2884 P4-5-4 I0a5.40 Yjing3 Ydan3|トン タン ショウ セイ どんぶり|||bowl, bowl of food
丿|B4 S1 V39 H3345 P4-1-4 I0a1.2 Ypie3|ヘツ えい よう|の|ノ のかんむり|katakana no radical (no. 4)
乀|B3 S1 P4-1-4 Yfu2|フツ ブチ ま.がる|||stretch
乁|B3 S1 P4-1-4 Yyi2|イ なが.れる|||
乂|B4 S2 V41 P4-2-4 I0a2.11 Yyi4 Yai4|ガイ カイ ゲ おさ.める か.る|||mow, cut grass, subdue
乃|B4 G9 S2 F1978 N145 V42 H2927 DK1858 L686 IN2003 P3-1-1 I0a2.10 Ynai3|ナイ ダイ ノ アイ の すなわ.ち なんじ|おさむ お のり||from, possessive particle, whereupon, accordingly
乄|B4 S2 N126 V33 H3372 P4-2-4|し.める して|||to find a place to dwell, sum, measurement of paper, to do, adding up, bundle, 8.5 lb, (kokuji)
久|B4 G5 S3 F688 N153 V47 H3384 DK2121 L1016 IN1210 E647 P4-3-1 I0a3.7 Yjiu3|キュウ ク ひさ.しい|きゅ わ||long time, old story
乇|B4 S3 P4-3-4 Ytuo1|タク チャク|||to depend on, to entrust with
么|B4 S3 Yma5 me5 mo3 mo5 yao1|エウ|||interrogative particle, repetition of a tune small, tender
之|B3 G9 S3 F1318 N280 V48 H3420 DK2137 L1214 IN2004 P4-3-4 I0a2.9 Yzhi1|シ の これ おいて ゆく この|ゆき いたる あき つな ゆみ||of, this
乍|B4 S5 N172 V50 P2-2-3 I0a5.10 Yzha4|サ サク -なが.ら たちま.ち|||though, notwithstanding, while, during, both, all
乎|B4 G9 S5 N170 V49 H3504 P4-5-3 I0a5.17 Yhu1|コ オ か ああ かな や よ を|||question mark, ?
乏|B4 G8 S4 F1646 N150 V46 H1933 DK1228 L1215 IN754 E1805 P2-1-3 I0a3.11 Yfa2|ボウ とぼ.しい とも.しい|||destitution, scarce, limited
乑|B4 S6 N180 V51 P4-6-4 Yzhong4|ギン ゴン シュウ ならびたつ|||stand side by side, assemble
乕|B4 S7 V52 P3-2-5 Yhu3 Yhu4|コ とら|||tiger, brave, fierce, surname
乖|B4 S8 N206 V53 P4-8-3 I2k6.4 Yguai1|カイ そむ.く もとる|||oppose, disobey
乗|B4 G3 S9 F377 N223 V54 H3576 DK2224 L1585 IN523 E320 P4-9-3 I0a9.19 Ycheng2 Ysheng4|ジョウ ショウ の.る -の.り の.せる|のり||ride, power, multiplication, record, counter for vehicles, board, mount, join
乘|B4 G10 S10 N225 V55 H3579 P4-10-3 Ycheng2 Ysheng4|ジョウ の.る の.せる|||power, multiplication, record, counter for vehicles
乙|B5 G8 S1 F1841 N260 V56 H3339 DK2104 L71 IN983 E1041 P4-1-1 I0a1.5 Yyi3|オツ イツ おと- きのと|||the latter, duplicate, strange, witty, fishhook radical (no. 5)
乚|B5 S1 H3340 P4-1-4 Yyin3|イン オン かく.す かく.れる かか.す よ.る||れ|hidden, mysterious, secret, to conceal, small, minute, fishhook radical variant (no. 5)
乜|B5 S2 P4-2-4 Ymie1 Ynie4|バ メ やぶにらみ|||to squint, what? huh? (Cant.)
九|B5 G1 S2 F55 N146 V57 H3369 DK2112 L9 IN11 E12 P4-2-4 I0a2.15 Yjiu3|キュウ ク ここの ここの.つ|いちじく いちのく この ひさし||nine
乞|B5 S3 F2478 N262 V59 H1961 L462 P2-2-1 I0a3.4 Yqi3|コツ キツ キ キケ コチ こ.う|||beg, invite, ask
也|B5 G9 S3 F1404 N75 V58 H3406 DK2130 L2094 IN2005 P4-3-2 I0a3.29 Yye3|ヤ エ なり か また|し||to be (classical)
乢|B46 S4 V1440 P1-3-1 Ygai4|ガイ たわ たお|||mountain saddle
乣|B5 S4 P1-3-1 Ydiu1|キュウ|||
乨|B5 S6 P1-5-1 Yshi3|シ はじ.める はじ.まる|||the beginning, to start, to begin, to be the first
乩|B5 S6 P1-5-1 Yji1|ケイ うらな.う|||to divine
乱|B5 G6 S7 F755 N3856 V60 H1260 DK846 L72 IN689 E989 P1-6-1 I3d4.21 Yluan4|ラン ロン みだ.れる みだ.る みだ.す みだ おさ.める わた.る|ら||riot, war, disorder, disturb
乳|B5 G6 S8 F1289 N266 V61 H1438 DK964 L729 IN939 E951 P1-7-1 I3n4.4 Yru3|ニュウ ちち ち|||milk, breasts
乴|B5 S8 P2-7-1 Yxi3|セツ ゼチ ひね.る|||
乵|B5 S8 P1-7-1 Yyan3|エン すす.む|||to enter, to make progress, to advance, to urge forward
乹|B5 S9 P1-8-1 Ygan1 Yqian2|カン ケン かわ.く かわ.かす ほ.す ひ.る いぬい|||drought, dry, dessicate, drink up, heaven, emperor
乾|B5 G8 S11 F1453 N784 V63 H1679 DK1101 L463 IN1190 E1099 P1-8-3 I4c7.14 Ygan1 Yqian2|カン ケン かわ.く かわ.かす ほ.す ひ.る いぬい|||drought, dry, dessicate, drink up, heaven, emperor
乿|B5 S11 P1-10-1 Yzhi4|チ ジ おさ.める|||to cure, to heal
亀|B213 G9 S11 F1353 N5445 V62 H2128 DK1346 L534 IN2284 P2-2-9 I2n9.1 Ygui1 Yjun1 Yqiu1|キ キュウ キン かめ|ひさ ひさし||tortoise, turtle
亂|B5 S13 N267 V64 H1886 P1-12-1 Yluan4|ラン ロン みだ.れる みだ.る みだ.す みだ.れ おさ.める わた.る|||war, disorder, riot, disturb
亅|B6 S1 V66 H3347 P4-1-4 I0a1.4 Yjue2|ケツ かぎ||はねぼう|feathered stick, barb radical (no. 6)
了|B6 G8 S2 F792 N268 V67 H3350 DK2107 L97 IN941 E1905 P4-2-1 I2c0.3 Yliao3 Yle5|リョウ|さとる||complete, finish
予|B6 G3 S4 F180 N271 V68 H1983 DK1253 L1593 IN393 E403 P2-2-2 I0a4.12 Yyu2 Yyu3|ヨ シャ あらかじ.め|||beforehand, previous, myself, I
争|B87 G4 S6 F271 N186 V69 H2030 DK1281 L1154 IN302 E529 P2-2-4 I2n4.2 Yzheng1|ソウ あらそ.う いか.でか|||contend, dispute, argue
亊|B6 S7 V70 H3556 P4-7-3 Yshi4|ジ シ ズ こと つか.う つか.える|||affair, matter, business, to serve, accident, incident
事|B6 G3 S8 F18 N272 V71 H3567 DK2220 L1156 IN80 E293 P4-8-3 I0a8.15 Yshi4|ジ ズ こと つか.う つか.える|ろ||matter, thing, fact, business, reason, possibly
二|B7 G1 S2 F9 N273 V72 H1922 DK1224 L2 IN3 E61 P2-1-1 I0a2.1 Yer4|ニ ジ ふた ふた.つ ふたた.び|おと つぐ にい は ふ ふたつ ふだ わ||two, two radical (no.2)
亍|B7 S3 P2-1-2 Ychu4|チョク たたず.む|||to take small steps, Korean place name
于|B7 S3 N5 V73 P4-3-1 I0a3.20 Yyu2|ウ ク ここに ああ おいて に より を|||going, from
云|B7 G9 S4 N274 V74 H1931 L2102 P2-1-3 I0a4.4 Yyun2|ウン い.う ここに|||say
互|B7 G8 S4 F914 N14 V75 H3437 DK2143 L757 IN907 E1236 P4-4-1 I0a4.15 Yhu4|ゴ たが.い かたみ.に|||mutually, reciprocally, together
五|B7 G1 S4 F31 N15 V77 H3436 DK2142 L5 IN7 E19 P4-4-1 I0a4.27 Ywu3|ゴ いつ いつ.つ|い さ さつ ち ふ み め||five
井|B7 G8 S4 F339 N165 V76 H3454 DK2153 L1806 IN1193 E1470 P4-4-3 I0a4.46 Yjing3|セイ ショウ い|いの さい ひ||well, well crib, town, community
亖|B7 S4 P2-1-3 Ysi4|シ よ よ.つ よっ.つ よん|||four
亗|B7 S5 P2-3-2 Ysui4|サイ セイ とし とせ よわ.い|||harvest, year, age
亘|B7 G9 S6 F1728 N30 V79 H1939 DK1232 L32 IN2006 P2-1-5 I4c2.4 Ygen4|コウ カン わた.る もと.める|せん のぶ とうる わたる ひさし||span, request
亙|B1 G9 S6 N31 V80 H3524 L2985 P4-6-1 I0a6.2 Ygen4 Ygeng4|コウ カン わた.る もと.める|のぶ||range, reach, extend, cover
些|B7 G9 S8 N276 V84 L2046 P2-6-2 I2m6.4 Yxie1|サ シャ ち.と ち.っと いささか|||a little bit, sometimes
亝|B7 S8 P2-2-6 Yqi2|セイ サイ そろ.う ひと.しい ひと.しく あ.たる はや.い|||even, regular, uniform all alike, to arrange
亞|B7 G10 S8 N45 V82 H3563 P4-8-1 Yya4 Yya3|ア つ.ぐ|||rank, follow
亟|B7 S8 V83 P2-7-1 I3d5.16 Yji2 Yqi4|キョク キ ケ しばしば すみやか|||fast, quick, sudden
亠|B8 S2 V85 H3363 P4-2-2 I2j0.1 Ytou2|トウ||なべぶた|kettle lid radical (no. 8)
亡|B8 G6 S3 F661 N281 V86 H3402 DK2126 L485 IN672 E973 P4-3-2 I2j1.1 Ywang2 Ywu2|ボウ モウ な.い な.き- ほろ.びる ほろ.ぶ ほろ.ぼす|||deceased, the late, dying, perish
亢|B8 S4 N282 V87 H1964 P2-2-2 I2j2.3 Ykang4|コウ たかぶる|||high spirits
交|B8 G2 S6 F178 N290 V90 H2015 DK1272 L1275 IN114 E115 P2-2-4 I2j4.3 Yjiao1|コウ まじ.わる まじ.える ま.じる まじ.る ま.ざる ま.ぜる -か.う か.わす かわ.す こもごも|かた||mingle, mixing, association, coming & going
亥|B8 G9 S6 N287 V89 H2012 DK1269 L1519 IN2008 P2-2-4 I2j4.1 Yhai4|ガイ カイ い|り||sign of the hog, 9-11PM, twelfth sign of the Chinese zodiac
亦|B8 G9 S6 N286 V88 H2011 DK1268 IN2007 P2-2-4 I2j4.4 Yyi4|エキ ヤク また|||also, again
亨|B8 G9 S7 F1952 V91 H2037 DK1286 L3001 IN2009 P2-2-5 I2j4.2 Yheng1|コウ キョウ ホウ たてまつ.る|とうる みち ゆき あきら なが あき とおる とおるふ||undergo, answer (phone), take, get, catch
